"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value"
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2015",5.3848155846
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2016",2.3576250922
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2017",4.5472542005
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2018",2.9378585726
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2019",2.6284983221
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2020",2.1002955796
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2021",2.3304951081
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1980",-0.48299225427
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1981",-0.66613302243
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1982",3.6846508259
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1983",2.5960612123
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1984",4.1661512624
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1985",4.0036855750
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1986",4.9042526859
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1987",0.25422611188
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1988",-0.013630002
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1989",0.64521497919
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1990",1.4752447257
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1991",1.3936560287
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1992",1.9570115660
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1993",0.010659428264
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1994",5.3324486450
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1995",3.0276340729
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1996",2.9049661087
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1997",3.2598467535
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1998",2.2131094187
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1999",2.9484811819
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2000",3.7486081900
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2001",0.82279990460
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2002",0.46717918391
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2003",0.38848666784
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2004",2.6678393433
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2005",2.3415191319
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2006",3.9118303571
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2007",0.90757746630
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2008",-0.51091005854
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2009",-4.9053172140
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2010",1.8675817066
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2011",1.3363520901
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2012",0.2288703612
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2013",0.93513836785
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2014",1.6159439806
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2015",2.3429631592
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2016",3.2475268037
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2017",2.036721179
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2018",2.3893805309
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2019",1.8213195322
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2020",1.3546774047
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2021",1.4069389631
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1980",5.0892775625
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1981",1.2733794199
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1982",3.0968516771
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1983",3.0692057152
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1984",2.9870369516
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1985",3.2273959103
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1986",2.7543935777
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1987",3.6191260465
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1988",5.1534942484
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1989",5.4173731892
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1990",0.14246847310
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1991",-5.9124829591
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1992",-3.3216636794
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1993",-0.68871716681
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1994",3.9341573837
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1995",4.1486567013
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1996",3.6006124586
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1997",6.2656544127
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1998",5.3955333679
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1999",4.3206189576
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2000",5.7095303085
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2001",2.5355678576
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2002",1.6510346606
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2003",1.9468866128
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2004",3.9397333997
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2005",2.72746972
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2006",3.9750870122
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2007",5.248574540
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2008",0.73805791852
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2009",-8.1397222473
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2010",3.132177449
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2011",2.5028834450
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2012",-1.4327048721
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2013",-0.95692017949
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2014",-0.40792478886
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2015",0.56052735437
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2016",2.6141191070
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2017",3.0514466461
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2018",1.6711303702
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2019",1.3329221189
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2020",1.0289382839
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","2021",0.93414937499
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1980",1.5760176869
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1981",1.0983620855
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1982",2.4146761469
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1983",1.2744946767
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1984",1.6617446259
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1985",1.6602616238
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1986",2.2609067054
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1987",2.5823026668
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1988",4.5756355534
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1989",4.4657936045
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1990",3.0319844635
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1991",0.99779183302
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1992",1.4900200927
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1993",-0.62395645143
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1994",2.3375176148
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1995",2.2019070851
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1996",1.4161894198
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1997",2.3166336670
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1998",3.6229946524
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","1999",3.2870114270
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2000",4.0635043761
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2001",2.0119385544
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2002",1.1101338532
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2003",0.84431570786
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2004",2.6183390172
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2005",1.713259027
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2006",2.6131562486
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2007",2.4152003483
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2008",0.12307390775
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2009",-2.7827436214
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2010",1.8426750250
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2011",2.2396558207
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2012",0.36695543117
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2013",0.59847889173
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2014",0.98581922516
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2015",1.0402992179
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2016",1.0440345843
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2017",2.3816635401
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2018",1.7190788174
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2019",1.3085277548
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2020",1.1969096700
"FRA","REALGDPFORECAST","TOT","AGRWTH","A","2021",1.2240588221
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","1992",1.5063607095
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","1993",-0.99043077045
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","1994",2.4619445225
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","1995",1.6150539137
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","1996",0.84684621159
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","1997",1.8603267019
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","1998",1.7976791610
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","1999",1.7473484684
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2000",3.1438845025
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2001",1.8104279143
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2002",-0.16616710068
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2003",-0.71835209197
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2004",0.70883490867
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2005",0.90235059902
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2006",3.9998884345
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2007",3.0807274244
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2008",0.69387321604
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2009",-5.6412510755
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2010",4.0434670077
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2011",3.9900840962
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2012",0.6171127444
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2013",0.54555165047
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2014",2.2091936588
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2015",1.4934125689
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2016",2.1446700884
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2017",2.7684713801
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2018",1.544802157
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2019",0.59717870115
