"Title",Genre
"SSX 3",Snowboarding
"Tom Clancy's Splinter Cell",Action Adventure
"Tom Clancy's Splinter Cell",Modern
"Grand Theft Auto III",Action Adventure
"Grand Theft Auto III",Modern
"Grand Theft Auto III",Modern
"Grand Theft Auto III",Open-World
"Quake III Arena",Action
"Quake III Arena",Shooter
"Quake III Arena",First-Person
"Quake III Arena",Sci-Fi
"Homeworld",Strategy
"Homeworld",Real-Time
"Homeworld",Sci-Fi
"Homeworld",Sci-Fi
"Homeworld",General
"Okami",Action Adventure
"Okami",Fantasy
"The Elder Scrolls IV: Oblivion",Role-Playing
"The Elder Scrolls IV: Oblivion",First-Person
"The Elder Scrolls IV: Oblivion",First-Person
"The Elder Scrolls IV: Oblivion",Western-Style
"Fallout 3",Role-Playing
"Fallout 3",First-Person
"Fallout 3",First-Person
"Fallout 3",Western-Style
"Gears of War 2",Action
"Gears of War 2",Shooter
"Gears of War 2",Shooter
"Gears of War 2",Third-Person
"Gears of War 2",Sci-Fi
"Gears of War 2",Sci-Fi
"Gears of War 2",Arcade
"SoulCalibur II",Action
"SoulCalibur II",Fighting
"SoulCalibur II",3D
"World Soccer Winning Eleven 6 International",Sports
"World Soccer Winning Eleven 6 International",Traditional
"World Soccer Winning Eleven 6 International",Soccer
"World Soccer Winning Eleven 6 International",Sim
"NFL 2K3",Sports
"NFL 2K3",Traditional
"NFL 2K3",Football
"NFL 2K3",Sim
"Mass Effect 3",Role-Playing
"Mass Effect 3",Action RPG
"Mass Effect 3",Action RPG
"Metal Gear Solid V: The Phantom Pain",Modern
"Metal Gear Solid V: The Phantom Pain",Action Adventure
"Metal Gear Solid V: The Phantom Pain",Modern
"Metal Gear Solid V: The Phantom Pain",Open-World
"Skies of Arcadia",Role-Playing
"Skies of Arcadia",Console-style RPG
"The Legend of Zelda: Skyward Sword",Action Adventure
"The Legend of Zelda: Skyward Sword",Fantasy
"The Legend of Zelda: Skyward Sword",General
"The Legend of Zelda: Skyward Sword",Fantasy
"The Legend of Zelda: Skyward Sword",Open-World
"Mario Kart Super Circuit",Driving
"Mario Kart Super Circuit",Racing
"Mario Kart Super Circuit",Kart
"Rock Band 3",Action
"Rock Band 3",Miscellaneous
"Rock Band 3",Rhythm
"Rock Band 3",Music
"Rock Band 3",Music
"Viewtiful Joe",Action
"Viewtiful Joe",Beat-'Em-Up
"Test Drive Le Mans",Driving
"Test Drive Le Mans",Racing
"Test Drive Le Mans",GT / Street
"NBA 2K1",Sports
"NBA 2K1",Traditional
"NBA 2K1",Basketball
"NBA 2K1",Sim
"Castlevania: Symphony of the Night",Action
"Castlevania: Symphony of the Night",Platformer
"Castlevania: Symphony of the Night",2D
"Star Wars: Knights of the Old Republic",Role-Playing
"Star Wars: Knights of the Old Republic",Third-Person
"Star Wars: Knights of the Old Republic",Third-Person
"Star Wars: Knights of the Old Republic",General
"Virtua Fighter 4: Evolution",Action
"Virtua Fighter 4: Evolution",Fighting
"Virtua Fighter 4: Evolution",3D
"Uncharted 4: A Thief's End",General
"Uncharted 4: A Thief's End",Modern
"Uncharted 4: A Thief's End",Action Adventure
"Uncharted 4: A Thief's End",Linear
"Braid",Action
"Braid",Platformer
"Braid",Platformer
"Braid",2D
"Braid",2D
"Mass Effect 3",Role-Playing
"Mass Effect 3",Action RPG
"Mass Effect 3",Action RPG
"Paper Mario",Role-Playing
"Paper Mario",Console-style RPG
"Wipeout XL",Driving
"Wipeout XL",Racing
"Wipeout XL",Futuristic
"Grand Theft Auto: San Andreas",Action Adventure
"Grand Theft Auto: San Andreas",Modern
"INSIDE",Action
"INSIDE",Platformer
"INSIDE",2D
"World of Warcraft",Role-Playing
"World of Warcraft",Massively Multiplayer Online
"World of Warcraft",Massively Multiplayer
"World of Warcraft",Fantasy
"World of Warcraft",Fantasy
"Grand Theft Auto: San Andreas",Action Adventure
"Grand Theft Auto: San Andreas",Modern
"Grand Theft Auto: San Andreas",Modern
"Grand Theft Auto: San Andreas",Open-World
"Flipnote Studio",Miscellaneous
"Flipnote Studio",General
"Flipnote Studio",Application
"World Soccer Winning Eleven 7 International",Sports
"World Soccer Winning Eleven 7 International",Traditional
"World Soccer Winning Eleven 7 International",Soccer
"World Soccer Winning Eleven 7 International",Sim
"NBA 2K2",Sports
"NBA 2K2",Traditional
"NBA 2K2",Basketball
"NBA 2K2",Sim
"SoulCalibur II",Action
"SoulCalibur II",Fighting
"SoulCalibur II",3D
"The Elder Scrolls V: Skyrim",Role-Playing
"The Elder Scrolls V: Skyrim",First-Person
"The Elder Scrolls V: Skyrim",First-Person
"The Elder Scrolls V: Skyrim",Western-Style
"Prince of Persia: The Sands of Time",Action Adventure
"Prince of Persia: The Sands of Time",Fantasy
"Call of Duty 4: Modern Warfare",Action
"Call of Duty 4: Modern Warfare",Shooter
"Call of Duty 4: Modern Warfare",Shooter
"Call of Duty 4: Modern Warfare",First-Person
"Call of Duty 4: Modern Warfare",Modern
"Call of Duty 4: Modern Warfare",Modern
"Call of Duty 4: Modern Warfare",Arcade
"Divinity: Original Sin II - Definitive Edition",Role-Playing
"Divinity: Original Sin II - Definitive Edition",Western-Style
"God of War III",Action Adventure
"God of War III",Fantasy
"God of War III",Fantasy
"God of War III",Linear
"NFL 2K3",Sports
"NFL 2K3",Traditional
"NFL 2K3",Football
"NFL 2K3",Sim
"SSX Tricky",Sports
"SSX Tricky",Alternative
"SSX Tricky",Snowboarding
"NHL 2002",Sports
"NHL 2002",Traditional
"NHL 2002",Ice Hockey
"NHL 2002",Sim
"Guitar Hero II",Action
"Guitar Hero II",Miscellaneous
"Guitar Hero II",Rhythm
"Guitar Hero II",Music
"Guitar Hero II",Music
"Prince of Persia: The Sands of Time",Action Adventure
"Prince of Persia: The Sands of Time",Fantasy
"Uncharted 3: Drake's Deception",Action Adventure
"Uncharted 3: Drake's Deception",Modern
"Uncharted 3: Drake's Deception",Modern
"Uncharted 3: Drake's Deception",Linear
"Rock Band",Action
"Rock Band",Miscellaneous
"Rock Band",Rhythm
"Rock Band",Music
"Rock Band",Music
"Journey",Action
"Journey",Platformer
"Journey",3D
"Bloodborne",Fantasy
"Bloodborne",Role-Playing
"Bloodborne",Action Adventure
"Bloodborne",General
